FID,longitude,latitude,cell_num,cell_area,gpcp_cid,CID,BASIN,AREA,ntsctarea,area_frc
153,85.750000000000000,29.250000000000000,40469,2693.678955079999900,21686.000000000000000,490331,34,771.262591688000040,172.590230308000000,0.223776223776000
154,85.750000000000000,29.250000000000000,40469,2693.678955079999900,21686.000000000000000,490332,34,771.262591688000040,771.262591688000040,1.000000000000000
155,85.750000000000000,29.250000000000000,40469,2693.678955079999900,21686.000000000000000,490333,34,771.262591688000040,401.811629934999980,0.520979020979000
156,85.750000000000000,29.250000000000000,40469,2693.678955079999900,21686.000000000000000,491589,34,772.108908277999940,722.338821855999980,0.935540069687000
157,85.750000000000000,29.250000000000000,40469,2693.678955079999900,21686.000000000000000,491590,34,772.108908277999940,620.108374069999970,0.803135888502000
158,86.250000000000000,29.250000000000000,40470,2693.678955079999900,21687.000000000000000,490333,34,771.262591688000040,369.450961752000010,0.479020979020000
159,86.250000000000000,29.250000000000000,40470,2693.678955079999900,21687.000000000000000,490334,34,771.262591688000040,771.262591688000040,1.000000000000000
160,86.250000000000000,29.250000000000000,40470,2693.678955079999900,21687.000000000000000,490335,34,771.262591688000040,207.647620839000010,0.269230769231000
161,86.250000000000000,29.250000000000000,40470,2693.678955079999900,21687.000000000000000,491590,34,772.108908277999940,149.310259266000000,0.193379790940000
162,86.250000000000000,29.250000000000000,40470,2693.678955079999900,21687.000000000000000,491591,34,772.108908277999940,772.108908277999940,1.000000000000000
163,86.250000000000000,29.250000000000000,40470,2693.678955079999900,21687.000000000000000,491592,34,772.108908277999940,423.718303322999990,0.548780487804000
164,86.750000000000000,29.250000000000000,40471,2693.678955079999900,21687.000000000000000,490335,34,771.262591688000040,563.614970848999970,0.730769230769000
165,86.750000000000000,29.250000000000000,40471,2693.678955079999900,21687.000000000000000,490336,34,771.262591688000040,771.262591688000040,1.000000000000000
166,86.750000000000000,29.250000000000000,40471,2693.678955079999900,21687.000000000000000,490337,34,771.262591688000040,13.483611743000001,0.017482517482800
167,86.750000000000000,29.250000000000000,40471,2693.678955079999900,21687.000000000000000,491592,34,772.108908277999940,348.390604955000010,0.451219512196000
168,86.750000000000000,29.250000000000000,40471,2693.678955079999900,21687.000000000000000,491593,34,772.108908277999940,772.108908277999940,1.000000000000000
169,86.750000000000000,29.250000000000000,40471,2693.678955079999900,21687.000000000000000,491594,34,772.108908277999940,224.637957634999990,0.290940766551000
170,87.250000000000000,29.250000000000000,40472,2693.678955079999900,21688.000000000000000,490337,34,771.262591688000040,757.778979944999950,0.982517482517000
171,87.250000000000000,29.250000000000000,40472,2693.678955079999900,21688.000000000000000,490338,34,771.262591687000050,590.582194333999950,0.765734265735000
172,87.250000000000000,29.250000000000000,40472,2693.678955079999900,21688.000000000000000,491594,34,772.108908277999940,547.470950643000040,0.709059233449000
173,87.250000000000000,29.250000000000000,40472,2693.678955079999900,21688.000000000000000,491595,34,772.108908277999940,769.418633335999970,0.996515679442000
174,87.250000000000000,29.250000000000000,40472,2693.678955079999900,21688.000000000000000,491596,34,772.108908277999940,25.557611946500000,0.033101045296200
175,87.750000000000000,29.250000000000000,40473,2693.678955079999900,21688.000000000000000,490338,34,771.262591687000050,180.680397352999990,0.234265734265000
176,87.750000000000000,29.250000000000000,40473,2693.678955079999900,21688.000000000000000,490339,34,771.262591688000040,771.262591688000040,1.000000000000000
177,87.750000000000000,29.250000000000000,40473,2693.678955079999900,21688.000000000000000,490340,34,771.262591688000040,393.721462890000000,0.510489510490000
178,87.750000000000000,29.250000000000000,40473,2693.678955079999900,21688.000000000000000,491596,34,772.108908277999940,743.861021390000020,0.963414634147000
179,87.750000000000000,29.250000000000000,40473,2693.678955079999900,21688.000000000000000,491597,34,772.108908277999940,601.276449478000020,0.778745644600000
180,88.250000000000000,29.250000000000000,40474,2693.678955079999900,21689.000000000000000,490340,34,771.262591688000040,377.541128797999990,0.489510489510000
181,88.250000000000000,29.250000000000000,40474,2693.678955079999900,21689.000000000000000,490341,34,771.262591688000040,771.262591688000040,1.000000000000000
182,88.250000000000000,29.250000000000000,40474,2693.678955079999900,21689.000000000000000,490342,34,771.262591688000040,199.557453793000010,0.258741258741000
183,88.250000000000000,29.250000000000000,40474,2693.678955079999900,21689.000000000000000,491597,34,772.108908277999940,170.832458800000010,0.221254355400000
184,88.250000000000000,29.250000000000000,40474,2693.678955079999900,21689.000000000000000,491598,34,772.108908277999940,772.108908277999940,1.000000000000000
185,88.250000000000000,29.250000000000000,40474,2693.678955079999900,21689.000000000000000,491599,34,772.108908277999940,402.196103789000010,0.520905923344000
186,88.750000000000000,29.250000000000000,40475,2693.678955079999900,21689.000000000000000,490342,34,771.262591688000040,571.705137894000020,0.741258741258000
187,88.750000000000000,29.250000000000000,40475,2693.678955079999900,21689.000000000000000,490343,34,771.262591688000040,771.262591688000040,1.000000000000000
188,88.750000000000000,29.250000000000000,40475,2693.678955079999900,21689.000000000000000,490344,34,771.262591688000040,5.393444697140000,0.006993006993030
189,88.750000000000000,29.250000000000000,40475,2693.678955079999900,21689.000000000000000,491599,34,772.108908277999940,369.912804488000010,0.479094076654000
190,88.750000000000000,29.250000000000000,40475,2693.678955079999900,21689.000000000000000,491600,34,772.108908277999940,772.108908277999940,1.000000000000000
191,88.750000000000000,29.250000000000000,40475,2693.678955079999900,21689.000000000000000,491601,34,772.108908277999940,203.115758101000010,0.263066202091000
