FID,WGHM_BASIN,PAPA_BASIN,EAG_CNUM,WGHM_CNUM,EAG_AREA,INTCT_AREA,AREA_FRC
1515,21,21,480170,41713,771.751853030000010,141.442065590999990,0.183274021352000
1516,21,21,480171,41713,771.751853030000010,771.751853030000010,1.000000000000000
1517,21,21,480172,41713,771.751853030000010,460.030019154999990,0.596085409253000
1518,21,21,481452,41713,770.056144762000030,700.175604935000020,0.909252669039000
1519,21,21,484006,41412,772.077339630999970,772.077339630999970,1.000000000000000
1520,21,21,485277,41097,770.325539557999950,63.966961765500002,0.083038869258100
1521,21,34,485278,41097,770.325539557999950,770.325539557999950,1.000000000000000
1522,21,21,485277,41096,770.325539557999950,706.358577792000010,0.916961130741000
1523,21,34,489076,40783,770.388771324999990,198.679209447000010,0.257894736842000
1524,21,34,489077,40783,770.388771324999990,770.388771324000000,0.999999999999000
1525,21,34,489078,40783,770.388771324999990,379.788148670000000,0.492982456139000
1526,21,34,487811,40782,772.197035493000040,223.530720801000000,0.289473684211000
1527,21,34,489074,40782,770.388771324999990,6.757796239640000,0.008771929824490
1528,21,34,489075,40782,770.388771324999990,770.388771324000000,0.999999999999000
1529,21,34,489076,40782,770.388771324999990,571.709561878000040,0.742105263158000
1530,21,34,487810,40781,772.197035493000040,772.197035493000040,1.000000000000000
1531,21,34,487811,40781,772.197035493000040,548.666314693000000,0.710526315790000
1532,21,34,489073,40781,770.388771324999990,587.928272852999950,0.763157894736000
1533,21,34,489074,40781,770.388771324999990,763.630975085000050,0.991228070175000
1534,21,34,486550,41098,771.274876650000010,548.582834800000000,0.711267605633000
1535,21,34,489078,40784,770.388771324999990,390.600622654000010,0.507017543859000
1536,21,34,489079,40784,770.388771324999990,770.388771324000000,0.999999999999000
1537,21,34,489080,40784,770.388771324999990,187.866735463000000,0.243859649122000
1538,21,34,486550,41099,771.274876650000010,222.692041850000010,0.288732394367000
1539,21,34,485284,41100,770.325539557999950,749.910551760999970,0.973498233216000
1540,21,34,486554,41100,771.274876650000010,176.524179514999990,0.228873239437000
1541,21,21,480172,41714,771.751853030000010,311.721833875000020,0.403914590747000
1542,21,34,480173,41714,771.751853030000010,769.005405153999960,0.996441281138000
1543,21,34,480174,41714,771.751853030000010,289.750250870000000,0.375444839857000
1544,21,34,481454,41714,770.056144762000030,770.056144762000030,1.000000000000000
1545,21,34,484009,41413,772.077339630999970,137.773518203000010,0.178445229682000
1546,21,21,472426,42602,770.491849803000040,243.386414648999990,0.315884476534000
1547,21,21,472427,42602,770.491849803000040,770.491849803000040,1.000000000000000
1548,21,21,472428,42602,770.491849803000040,374.119688802999970,0.485559566787000
1549,21,21,473724,42602,771.682996982999950,616.236062339000000,0.798561151079000
1550,21,21,473725,42602,771.682996982999950,771.682996981999960,0.999999999999000
1551,21,21,475019,42308,770.077989670999950,404.429447813000020,0.525179856115000
1552,21,21,475020,42308,770.077989670999950,770.077989670999950,1.000000000000000
1553,21,21,475021,42308,770.077989670999950,207.754853329000010,0.269784172663000
1554,21,21,476311,42308,771.222650770999960,192.114602969999990,0.249103942653000
1555,21,21,476312,42308,771.222650770999960,771.222650770999960,1.000000000000000
1556,21,21,476313,42308,771.222650770999960,418.782192085000020,0.543010752688000
1557,21,21,467209,43167,771.076863331000030,508.910729799000020,0.660000000001000
1558,21,21,467210,43167,771.076863331000030,771.076863331000030,1.000000000000000
1559,21,21,467211,43167,771.076863331000030,121.970340199000010,0.158181818181000
1560,21,21,468517,43167,772.360013912000000,293.832613987999990,0.380434782608000
1561,21,21,468518,43167,772.360013912000000,769.561608063999980,0.996376811594000
1562,21,21,468519,43167,772.360013912000000,333.010295853000000,0.431159420289000
1563,21,21,472428,42603,770.491849803000040,396.372161000000010,0.514440433213000
1564,21,21,472429,42603,770.491849803000040,770.491849803000040,1.000000000000000
1565,21,21,472430,42603,770.491849803000040,221.133942452000010,0.287003610108000
1566,21,21,473726,42603,771.682996982999950,771.682996982999950,1.000000000000000
1567,21,21,473727,42603,771.682996982999950,616.236062338000010,0.798561151078000
1568,21,21,475021,42309,770.077989670999950,562.323136342999990,0.730215827339000
1569,21,21,475022,42309,770.077989670999950,770.077989670999950,1.000000000000000
